hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.0,0.095052,0.095052,0.09505233,0.447507,0.447507,0.44750743,1.835523,1.835523,1.8355228,5.279461,5.279461,5.2794612,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0006,0.095052,0.095052,0.09505206,0.447507,0.447507,0.44750733,1.835523,1.835523,1.8355227,5.279461,5.279461,5.2794612,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0009,0.095052,0.095052,0.09505194,0.447507,0.447507,0.44750729,1.835523,1.835523,1.8355227,5.279461,5.279461,5.2794612,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0012,0.095052,0.095052,0.09505179,0.447507,0.447507,0.44750724,1.835523,1.835523,1.8355227,5.279461,5.279461,5.2794612,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0017,0.095052,0.095052,0.09505157,0.447507,0.447507,0.44750716,1.835523,1.835523,1.8355227,5.279461,5.279461,5.2794612,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0024,0.095051,0.095051,0.09505127,0.447507,0.447507,0.44750705,1.835523,1.835523,1.8355226,5.279461,5.279461,5.2794612,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0034,0.095051,0.095051,0.09505085,0.447507,0.447507,0.44750689,1.835522,1.835523,1.8355226,5.279461,5.279461,5.2794612,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0048,0.09505,0.09505,0.09505026,0.447507,0.447507,0.44750667,1.835522,1.835523,1.8355225,5.279461,5.279461,5.2794611,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49823,0.0,0.0
0.0067,0.095049,0.095049,0.09504944,0.447506,0.447506,0.44750636,1.835522,1.835522,1.8355223,5.279461,5.279461,5.2794611,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49823,114.49823,114.49822,0.0,-1e-05
0.0094,0.095048,0.095048,0.0950483,0.447506,0.447506,0.44750593,1.835522,1.835522,1.8355222,5.279461,5.279461,5.279461,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49822,114.49822,114.49822,0.0,0.0
0.0131,0.095047,0.095047,0.0950467,0.447505,0.447505,0.44750531,1.835521,1.835522,1.8355219,5.279461,5.279461,5.279461,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49822,114.49822,114.49822,0.0,0.0
0.0184,0.095044,0.095044,0.09504448,0.447504,0.447504,0.44750444,1.835521,1.835522,1.8355216,5.279461,5.279461,5.2794609,4.152252,4.152252,4.1522515,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49822,114.49822,114.49822,0.0,0.0
0.0258,0.095041,0.095041,0.09504137,0.447503,0.447503,0.44750321,1.83552,1.835521,1.8355211,5.27946,5.279461,5.2794607,4.152252,4.152252,4.1522514,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49821,114.49821,114.49821,0.0,0.0
0.0362,0.095036,0.095037,0.09503703,0.447501,0.447501,0.44750147,1.835519,1.83552,1.8355204,5.27946,5.279461,5.2794605,4.152252,4.152252,4.1522514,5.489079,5.489079,5.489079,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.4982,114.49821,114.4982,1e-05,0.0
0.0508,0.09503,0.095031,0.09503097,0.447498,0.447499,0.44749903,1.835518,1.83552,1.8355195,5.27946,5.27946,5.2794602,4.152251,4.152252,4.1522514,5.489079,5.489079,5.4890789,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49819,114.4982,114.49819,1e-05,0.0
0.0713,0.095021,0.095023,0.09502251,0.447495,0.447496,0.44749558,1.835515,1.835518,1.8355181,5.279459,5.27946,5.2794598,4.152251,4.152251,4.1522513,5.489079,5.489079,5.4890789,6.543077,6.543077,6.5430772,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49818,114.49818,114.49818,0.0,0.0
0.1,0.095009,0.095011,0.09501068,0.447489,0.447491,0.44749073,1.835512,1.835516,1.8355162,5.279458,5.279459,5.2794592,4.152251,4.152251,4.1522512,5.489079,5.489079,5.4890788,6.543077,6.543077,6.5430772,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49816,114.49816,114.49816,0.0,0.0
0.1403,0.094992,0.094994,0.09499415,0.447482,0.447484,0.4474839,1.835508,1.835514,1.8355136,5.279457,5.279458,5.2794584,4.152251,4.152251,4.152251,5.489079,5.489079,5.4890787,6.543077,6.543077,6.5430772,7.734032,7.734032,7.7340324,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49813,114.49814,114.49813,1e-05,0.0
0.1968,0.094968,0.094971,0.09497103,0.447472,0.447474,0.4474743,1.835502,1.83551,1.8355098,5.279455,5.279457,5.2794572,4.152251,4.152251,4.1522508,5.489078,5.489079,5.4890786,6.543077,6.543077,6.5430771,7.734032,7.734032,7.7340324,8.390131,8.390131,8.3901302,74.532116,74.532116,74.532115,114.49808,114.4981,114.4981,2e-05,2e-05
0.276,0.094935,0.094939,0.09493873,0.447457,0.447461,0.44746077,1.835494,1.835505,1.8355045,5.279452,5.279456,5.2794555,4.15225,4.152251,4.1522505,5.489078,5.489078,5.4890784,6.543077,6.543077,6.543077,7.734032,7.734032,7.7340323,8.39013,8.39013,8.3901302,74.532116,74.532116,74.532115,114.49802,114.49804,114.49804,2e-05,2e-05
0.3871,0.094888,0.094894,0.09489362,0.447436,0.447442,0.44744173,1.835482,1.835497,1.835497,5.279448,5.279453,5.2794531,4.15225,4.15225,4.1522501,5.489078,5.489078,5.4890782,6.543077,6.543077,6.5430769,7.734032,7.734032,7.7340323,8.39013,8.39013,8.3901302,74.532116,74.532116,74.532115,114.49794,114.49797,114.49797,3e-05,3e-05
0.5431,0.094823,0.094831,0.09483052,0.447408,0.447415,0.44741492,1.835465,1.835487,1.8354865,5.279443,5.27945,5.2794497,4.152249,4.15225,4.1522495,5.489077,5.489078,5.4890778,6.543076,6.543077,6.5430767,7.734032,7.734032,7.7340321,8.39013,8.39013,8.3901301,74.532116,74.532116,74.532115,114.49782,114.49786,114.49786,4e-05,4e-05
0.7617,0.094732,0.094742,0.09474199,0.447367,0.447377,0.44737743,1.835442,1.835472,1.8354718,5.279436,5.279445,5.279445,4.152248,4.152249,4.1522486,5.489077,5.489077,5.4890773,6.543076,6.543076,6.5430764,7.734032,7.734032,7.734032,8.39013,8.39013,8.39013,74.532116,74.532116,74.532114,114.49766,114.49772,114.49771,6e-05,5e-05
1.0685,0.094603,0.094617,0.09461676,0.447311,0.447325,0.44732528,1.83541,1.835451,1.8354513,5.279426,5.279439,5.2794385,4.152246,4.152248,4.1522474,5.489076,5.489077,5.4890766,6.543076,6.543076,6.543076,7.734032,7.734032,7.7340317,8.39013,8.39013,8.3901299,74.532116,74.532116,74.532114,114.49742,114.49751,114.49751,9e-05,9e-05
1.4988,0.094422,0.09444,0.09443949,0.447233,0.447253,0.44725294,1.835365,1.835423,1.8354229,5.279412,5.27943,5.2794297,4.152244,4.152246,4.1522458,5.489074,5.489076,5.4890757,6.543075,6.543076,6.5430755,7.734031,7.734031,7.7340314,8.39013,8.39013,8.3901297,74.532116,74.532116,74.532114,114.4971,114.49722,114.49722,0.00012,0.00012
2.1024,0.094166,0.09419,0.09418887,0.447125,0.447153,0.44715257,1.835303,1.835384,1.8353835,5.279393,5.279418,5.2794175,4.152241,4.152244,4.1522437,5.489073,5.489074,5.4890745,6.543074,6.543075,6.5430748,7.734031,7.734031,7.734031,8.39013,8.39013,8.3901295,74.532116,74.532116,74.532114,114.49665,114.49681,114.49681,0.00016,0.00016
2.949,0.093806,0.093836,0.09383518,0.446975,0.447013,0.44701327,1.835217,1.835329,1.8353286,5.279367,5.279401,5.2794007,4.152237,4.152241,4.1522407,5.48907,5.489073,5.4890727,6.543073,6.543074,6.5430739,7.73403,7.73403,7.7340305,8.390129,8.39013,8.3901293,74.532115,74.532115,74.532114,114.49602,114.49624,114.49624,0.00022,0.00022
4.1366,0.093304,0.093339,0.09333713,0.446767,0.44682,0.44681974,1.835097,1.835252,1.8352521,5.279331,5.279378,5.2793776,4.152231,4.152237,4.1522365,5.489067,5.48907,5.4890704,6.543071,6.543073,6.5430726,7.734029,7.73403,7.7340298,8.390129,8.390129,8.3901289,74.532115,74.532115,74.532113,114.49514,114.49544,114.49544,0.0003,0.0003
5.8025,0.092608,0.092641,0.09263882,0.446479,0.44655,0.44655019,1.834931,1.835145,1.8351448,5.279282,5.279346,5.2793452,4.152223,4.152231,4.1522308,5.489063,5.489067,5.4890671,6.543069,6.543071,6.5430709,7.734028,7.734029,7.7340288,8.390129,8.390129,8.3901284,74.532115,74.532115,74.532113,114.49393,114.49432,114.49432,0.00039,0.00039
8.1392,0.091653,0.091669,0.09166609,0.446077,0.446173,0.44617296,1.834698,1.834994,1.8349934,5.279213,5.2793,5.2792994,4.152212,4.152223,4.1522226,5.489057,5.489063,5.4890625,6.543066,6.543068,6.5430684,7.734026,7.734027,7.7340273,8.390128,8.390128,8.3901277,74.532114,74.532114,74.532112,114.49224,114.49276,114.49275,0.00052,0.00051
11.417,0.090358,0.090324,0.09031967,0.445515,0.445644,0.44564312,1.83437,1.834779,1.8347782,5.279116,5.279234,5.2792336,4.152197,4.152211,4.1522108,5.489048,5.489056,5.4890557,6.543061,6.543065,6.5430648,7.734024,7.734025,7.7340253,8.390127,8.390127,8.3901266,74.532113,74.532113,74.532112,114.48993,114.49058,114.49057,0.00065,0.00064
16.0147,0.088624,0.088476,0.08847067,0.444729,0.444897,0.44489624,1.83391,1.834471,1.8344698,5.278977,5.279139,5.2791379,4.152175,4.152194,4.1521934,5.489036,5.489046,5.4890458,6.543054,6.54306,6.5430594,7.734021,7.734022,7.7340222,8.390125,8.390125,8.3901251,74.532112,74.532112,74.53211,114.48676,114.48754,114.48753,0.00078,0.00077
22.464,0.086342,0.085965,0.08595804,0.443626,0.44384,0.44383887,1.833259,1.834026,1.8340241,5.278778,5.278998,5.2789964,4.152142,4.152168,4.1521673,5.489017,5.489031,5.4890307,6.543045,6.543051,6.5430513,7.734016,7.734018,7.7340176,8.390123,8.390123,8.3901228,74.53211,74.53211,74.532108,114.48246,114.48333,114.48332,0.00087,0.00086
31.5105,0.083395,0.082608,0.08259892,0.44207,0.442333,0.44233042,1.832332,1.833374,1.833371,5.278486,5.278784,5.2787822,4.152093,4.152128,4.152127,5.48899,5.489008,5.4890073,6.54303,6.543039,6.5430387,7.734008,7.734011,7.7340104,8.390119,8.39012,8.3901192,74.532106,74.532107,74.532105,114.47663,114.47751,114.47749,0.00088,0.00086
44.2001,0.079665,0.078212,0.0782012,0.43986,0.440167,0.44016214,1.831003,1.832405,1.8324007,5.27805,5.278453,5.2784507,4.152018,4.152064,4.1520632,5.488946,5.48897,5.4889697,6.543007,6.543018,6.5430182,7.733996,7.733999,7.7339989,8.390113,8.390114,8.3901134,74.532101,74.532102,74.5321,114.46876,114.46951,114.46948,0.00075,0.00072
62.0,0.075034,0.072604,0.07259171,0.436705,0.437038,0.43702915,1.829081,1.830947,1.8309399,5.277386,5.277931,5.2779269,4.151901,4.151961,4.1519594,5.488877,5.488908,5.4889078,6.542969,6.542985,6.5429842,7.733975,7.73398,7.7339798,8.390103,8.390104,8.3901037,74.532092,74.532093,74.532091,114.45812,114.45855,114.45851,0.00043,0.00039
85.775,0.069645,0.065995,0.06598287,0.432398,0.432717,0.43270442,1.826413,1.828834,1.828824,5.27641,5.277134,5.2771277,4.151722,4.151798,4.1517956,5.48877,5.48881,5.4888086,6.54291,6.54293,6.5429293,7.733944,7.733949,7.733949,8.390087,8.390089,8.390088,74.532077,74.532079,74.532077,114.44438,114.44433,114.44429,-5e-05,-9e-05
