,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_g11,LBLk_g11,PAR_g11,LBL_g12,LBLk_g12,PAR_g12,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.2354,0.22773000000000002,0.22791999999999998,0.09787,0.09236,0.09244,0.01795,0.01696,0.01697,0.00285,0.00251,0.00251,1e-05,1e-05,1e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00021,0.00016,0.00016,0.00011999999999999999,8e-05,8e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.35451,0.3399,0.34018000000000004,-0.01461,-0.01432
1,0.0008,0.23401,0.22668000000000002,0.22687,0.09837,0.09286,0.09294,0.018119999999999997,0.01712,0.017130000000000003,0.0028899999999999998,0.0025399999999999997,0.00255,1e-05,1e-05,1e-05,7e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00021,0.00016,0.00016,0.00011999999999999999,9e-05,9e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.35383000000000003,0.33955,0.33984000000000003,-0.014280000000000001,-0.01399
2,0.0011,0.232,0.22501999999999997,0.22521,0.09942000000000001,0.0939,0.09398,0.01846,0.01744,0.01745,0.00297,0.0026100000000000003,0.0026100000000000003,1e-05,1e-05,1e-05,7e-05,7e-05,7e-05,0.00022,0.00016999999999999999,0.00016999999999999999,0.00011999999999999999,9e-05,9e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.35331,0.33933,0.33960999999999997,-0.01399,-0.0137
3,0.0015,0.22981999999999997,0.22324000000000002,0.22341999999999998,0.10048,0.09496,0.09504,0.01883,0.017759999999999998,0.01778,0.00305,0.00267,0.00268,1e-05,2e-05,2e-05,7e-05,7e-05,7e-05,0.00022999999999999998,0.00016999999999999999,0.00016999999999999999,0.00013000000000000002,9e-05,9e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.35265,0.33901,0.33929000000000004,-0.013640000000000001,-0.013359999999999999
4,0.0021,0.22741999999999998,0.22132,0.2215,0.10152,0.09602999999999999,0.09611,0.0192,0.0181,0.01811,0.00313,0.00274,0.00274,1e-05,2e-05,2e-05,7e-05,7e-05,7e-05,0.00023999999999999998,0.00018,0.00018,0.00013000000000000002,9e-05,9e-05,2.9999999999999997e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.35176999999999997,0.33855999999999997,0.33885,-0.01321,-0.01293
5,0.0029,0.22476,0.21921,0.21939,0.10254,0.0971,0.09717999999999999,0.01958,0.018430000000000002,0.01845,0.00322,0.00281,0.00281,2e-05,2e-05,2e-05,8e-05,7e-05,7e-05,0.00025,0.00018,0.00018,0.00014,0.0001,0.0001,2.9999999999999997e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.35062,0.33795,0.33823000000000003,-0.01267,-0.01239
6,0.0041,0.22171999999999997,0.21688000000000002,0.21706,0.10354000000000001,0.09808,0.09816,0.019969999999999998,0.0188,0.01882,0.00331,0.0028899999999999998,0.0028899999999999998,2e-05,2e-05,2e-05,8e-05,8e-05,8e-05,0.00026000000000000003,0.00018999999999999998,0.00018999999999999998,0.00014,0.0001,0.0001,2.9999999999999997e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.34908,0.33707,0.33735,-0.01201,-0.011729999999999999
7,0.0057,0.21819000000000002,0.21424,0.21441999999999997,0.10449000000000001,0.099,0.09908,0.020380000000000002,0.0192,0.019209999999999998,0.0034100000000000003,0.00298,0.00298,2e-05,2e-05,2e-05,8e-05,8e-05,8e-05,0.00027,0.00018999999999999998,0.00018999999999999998,0.00015,0.0001,0.0001,2.9999999999999997e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.34703,0.33584,0.33612,-0.01119,-0.01091
8,0.008,0.21400999999999998,0.21115,0.21131999999999998,0.10539000000000001,0.09991,0.09999,0.0208,0.0196,0.01961,0.00351,0.00307,0.00307,2e-05,2e-05,2e-05,9e-05,9e-05,9e-05,0.00028,0.0002,0.0002,0.00016,0.00011,0.00011,2.9999999999999997e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.34429,0.33416999999999997,0.33444,-0.01012,-0.00985
9,0.0112,0.20897,0.20747,0.20763,0.10622000000000001,0.1008,0.10088,0.02122,0.02,0.02002,0.0036200000000000004,0.00316,0.00316,2e-05,2e-05,2e-05,9e-05,9e-05,9e-05,0.00029,0.00021,0.00021,0.00016,0.00011,0.00011,2.9999999999999997e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.34064,0.33189,0.33216,-0.00875,-0.00848
10,0.0158,0.20282999999999998,0.20298,0.20314000000000002,0.10695,0.10166,0.10174,0.02166,0.02041,0.02043,0.00373,0.00325,0.00325,2e-05,2e-05,2e-05,0.0001,9e-05,9e-05,0.0003,0.00022,0.00022,0.00016999999999999999,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.33579000000000003,0.32878,0.32905,-0.00701,-0.00675
11,0.0221,0.19527,0.19743,0.19758,0.10754000000000001,0.10244,0.10253,0.022109999999999998,0.02084,0.02086,0.0038399999999999997,0.00335,0.00335,2e-05,2e-05,2e-05,0.0001,0.0001,0.0001,0.00031,0.00022999999999999998,0.00022999999999999998,0.00018,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.32942,0.32456,0.32482,-0.00486,-0.0046
12,0.031,0.18599000000000002,0.19049000000000002,0.19063,0.10793,0.10313,0.10321,0.02257,0.021269999999999997,0.02129,0.00396,0.00345,0.00346,2e-05,2e-05,2e-05,0.00011,0.00011,0.00011,0.00032,0.00022999999999999998,0.00022999999999999998,0.00018999999999999998,0.00013000000000000002,0.00013000000000000002,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.32114000000000004,0.31887,0.31911,-0.00227,-0.00203
13,0.0435,0.17478,0.1819,0.18203,0.10793,0.10357000000000001,0.10365,0.02299,0.02167,0.02168,0.004079999999999999,0.00355,0.00355,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,0.00011999999999999999,0.00011,0.00011,0.00033999999999999997,0.00023999999999999998,0.00023999999999999998,0.00018999999999999998,0.00013000000000000002,0.00013000000000000002,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.3105,0.31123,0.31146999999999997,0.00073,0.0009699999999999999
14,0.0611,0.16143,0.17128,0.1714,0.10737999999999999,0.10362,0.1037,0.02331,0.02198,0.022,0.00417,0.0036299999999999995,0.0036299999999999995,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,0.00011999999999999999,0.00011999999999999999,0.00011999999999999999,0.00035,0.00025,0.00025,0.0002,0.00014,0.00014,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.29704,0.30108,0.3013,0.00404,0.00426
15,0.0856,0.14557,0.15793,0.15802,0.10625,0.10332000000000001,0.10340999999999999,0.0236,0.02226,0.02228,0.00426,0.00371,0.00371,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,0.00013000000000000002,0.00011999999999999999,0.00011999999999999999,0.00036,0.00026000000000000003,0.00026000000000000003,0.0002,0.00014,0.00014,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.28045,0.28781999999999996,0.28802,0.007359999999999999,0.007559999999999999
16,0.1201,0.12721,0.14128,0.14134000000000002,0.10447000000000001,0.10269,0.10277,0.023880000000000002,0.02255,0.02257,0.00436,0.00379,0.0038,4e-05,4e-05,4e-05,0.00013000000000000002,0.00013000000000000002,0.00013000000000000002,0.00037,0.00026000000000000003,0.00026000000000000003,0.00021,0.00014,0.00014,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.26072,0.27092,0.2711,0.0102,0.01037
17,0.1685,0.10680999999999999,0.12115999999999999,0.1212,0.10185,0.10157000000000001,0.10165,0.02416,0.02285,0.022869999999999998,0.00446,0.00389,0.00389,5e-05,5e-05,5e-05,0.00014,0.00014,0.00014,0.00037999999999999997,0.00027,0.00027,0.00022,0.00015,0.00015,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.23811999999999997,0.25011,0.25026,0.012,0.01214
18,0.2364,0.08528999999999999,0.098,0.09801,0.09813,0.0998,0.09988,0.02444,0.02316,0.023180000000000003,0.00458,0.00399,0.00399,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00015,0.00015,0.00015,0.00039,0.00028,0.00028,0.00022,0.00015,0.00015,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.21331999999999998,0.22563000000000002,0.22574,0.01231,0.01242
19,0.3315,0.06398,0.07307999999999999,0.07307000000000001,0.09306,0.09713,0.09721,0.02472,0.0235,0.02352,0.00471,0.00411,0.00411,7e-05,7e-05,7e-05,0.00016999999999999999,0.00016,0.00016,0.00041,0.00029,0.00029,0.00022999999999999998,0.00016,0.00016,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.1874,0.19854000000000002,0.19862,0.01114,0.01122
20,0.4651,0.044430000000000004,0.04871,0.04869,0.08637,0.09319,0.09325,0.02495,0.02384,0.02385,0.00486,0.00425,0.00426,9e-05,9e-05,9e-05,0.00018999999999999998,0.00018,0.00018,0.00042,0.0003,0.0003,0.00022999999999999998,0.00016,0.00016,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.1616,0.17076,0.17082,0.00916,0.00922
21,0.6524,0.02814,0.02795,0.02792,0.07732,0.087,0.08705,0.0247,0.023780000000000003,0.0238,0.00491,0.00433,0.00433,0.00011999999999999999,0.00011999999999999999,0.00011999999999999999,0.0002,0.00018999999999999998,0.00018999999999999998,0.00042,0.0003,0.0003,0.00022999999999999998,0.00016,0.00016,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.1361,0.14387,0.14392,0.00777,0.00782
22,0.9151,0.01586,0.01294,0.01292,0.06605,0.07836,0.0784,0.02385,0.023209999999999998,0.02323,0.00484,0.0043100000000000005,0.0043100000000000005,0.00016,0.00016,0.00016,0.00022,0.00021,0.00021,0.0004,0.00029,0.00029,0.00022,0.00015,0.00015,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.11164,0.11967,0.11972000000000001,0.008029999999999999,0.00808
23,1.2836,0.007670000000000001,0.004370000000000001,0.00436,0.053970000000000004,0.06796,0.06799,0.0229,0.02257,0.02259,0.00479,0.00432,0.00432,0.00021,0.00021,0.00021,0.00023999999999999998,0.00023999999999999998,0.00023999999999999998,0.00037999999999999997,0.00029,0.00029,0.0002,0.00014,0.00014,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.09041,0.10013999999999999,0.10017999999999999,0.009729999999999999,0.009770000000000001
24,1.8006,0.00307,0.00095,0.00095,0.04225,0.056220000000000006,0.05624,0.02207,0.022109999999999998,0.022119999999999997,0.00486,0.0044399999999999995,0.0044399999999999995,0.00028,0.00029,0.00029,0.00028,0.00028,0.00028,0.00037999999999999997,0.00029,0.00029,0.00018999999999999998,0.00013000000000000002,0.00013000000000000002,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.07343,0.08475,0.08478,0.01132,0.01135
25,2.5257,0.00098,0.00011,0.00011,0.031810000000000005,0.043539999999999995,0.04355,0.021419999999999998,0.02182,0.021840000000000002,0.00507,0.00468,0.00468,0.00039,0.00039,0.00039,0.00033999999999999997,0.00033999999999999997,0.00033999999999999997,0.00037999999999999997,0.0003,0.0003,0.00018,0.00013000000000000002,0.00013000000000000002,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.060610000000000004,0.07135,0.07137,0.010740000000000001,0.010759999999999999
26,3.5428,0.00023999999999999998,1e-05,1e-05,0.02324,0.030789999999999998,0.030780000000000002,0.021,0.0218,0.02181,0.00547,0.00511,0.00511,0.00054,0.00055,0.00055,0.00044,0.00043,0.00043,0.00039,0.00032,0.00032,0.00016999999999999999,0.00013000000000000002,0.00013000000000000002,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.05152999999999999,0.059160000000000004,0.059179999999999996,0.00763,0.007640000000000001
27,4.9695,5e-05,0.0,0.0,0.0166,0.01916,0.01915,0.020909999999999998,0.02206,0.022080000000000002,0.0061600000000000005,0.00577,0.00577,0.0007599999999999999,0.0007599999999999999,0.0007599999999999999,0.00057,0.00056,0.00057,0.00043,0.00036,0.00036,0.00016999999999999999,0.00013000000000000002,0.00013000000000000002,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.04568,0.048839999999999995,0.04885,0.00316,0.00316
28,6.9709,1e-05,0.0,0.0,0.01146,0.00995,0.009940000000000001,0.02114,0.022690000000000002,0.02271,0.0072299999999999994,0.00678,0.006790000000000001,0.00106,0.00106,0.00106,0.0007599999999999999,0.0007599999999999999,0.0007599999999999999,0.00049,0.00043,0.00043,0.00018,0.00014,0.00014,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.04236,0.04185,0.04186,-0.0005099999999999999,-0.0005
29,9.7781,0.0,0.0,0.0,0.00728,0.00396,0.00395,0.02134,0.0233,0.02332,0.008740000000000001,0.008159999999999999,0.008159999999999999,0.00148,0.00148,0.00148,0.00103,0.0010199999999999999,0.0010199999999999999,0.00058,0.0005200000000000001,0.0005200000000000001,0.00018999999999999998,0.00015,0.00015,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.04068,0.03862,0.03864,-0.00206,-0.0020399999999999997
30,13.7158,0.0,0.0,0.0,0.0039299999999999995,0.00108,0.00107,0.02086,0.02355,0.023569999999999997,0.01078,0.010029999999999999,0.01004,0.00206,0.00207,0.00207,0.00141,0.0014,0.0014,0.0007099999999999999,0.00064,0.00065,0.00021,0.00018,0.00018,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.040010000000000004,0.03899,0.03901,-0.0010199999999999999,-0.001
31,19.2394,0.0,0.0,0.0,0.00165,0.00016999999999999999,0.00016999999999999999,0.018869999999999998,0.022609999999999998,0.022619999999999998,0.01335,0.01241,0.01242,0.00288,0.00288,0.00288,0.0019399999999999999,0.0019,0.0019,0.0008900000000000001,0.00082,0.00082,0.00023999999999999998,0.00021,0.00021,4e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.039869999999999996,0.04104,0.041069999999999995,0.00118,0.0012
32,26.9872,0.0,0.0,0.0,0.00053,1e-05,1e-05,0.01505,0.01963,0.01963,0.01623,0.015390000000000001,0.0154,0.00399,0.00399,0.004,0.00267,0.0026100000000000003,0.0026100000000000003,0.00115,0.00107,0.00107,0.00028,0.00025,0.00025,5e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.03997,0.043,0.043019999999999996,0.0030399999999999997,0.00305
33,37.8553,0.0,0.0,0.0,0.00015,0.0,0.0,0.010159999999999999,0.014,0.01399,0.018680000000000002,0.01866,0.018680000000000002,0.00547,0.00547,0.00547,0.00367,0.00355,0.0035600000000000002,0.00151,0.00141,0.00141,0.00035,0.00032,0.00032,5.9999999999999995e-05,5e-05,5e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.040060000000000005,0.04347,0.04349,0.0034100000000000003,0.00343
