hPa,LBLx1,PARx1,PARx1 - LBLx1,LBLx2,PARx2,PARx2 - LBLx2
0.0,113.8745,113.8745,0.0,113.8745,113.8745,0.0
0.0006,113.87448,113.87448,0.0,113.87446000000001,113.87447,2e-05
0.0009,113.87447,113.87447,0.0,113.87445,113.87445,0.0
0.0012,113.87446000000001,113.87446000000001,0.0,113.87443,113.87443,0.0
0.0017,113.87443999999999,113.87443999999999,0.0,113.8744,113.87441000000001,2e-05
0.0024,113.87441000000001,113.87442,1e-05,113.87435,113.87437,2e-05
0.0034,113.87438,113.87438999999999,1e-05,113.8743,113.87431000000001,2e-05
0.0048,113.87433,113.87433999999999,1e-05,113.87421,113.87423999999999,2.9999999999999997e-05
0.0067,113.87426,113.87428,2e-05,113.8741,113.87413000000001,2.9999999999999997e-05
0.0094,113.87416,113.87418999999998,2.9999999999999997e-05,113.87393999999999,113.87398,4e-05
0.0131,113.87402,113.87406000000001,4e-05,113.87371999999999,113.87378000000001,5.9999999999999995e-05
0.0184,113.87383,113.87388999999999,5.9999999999999995e-05,113.87341,113.87348999999999,8e-05
0.0258,113.87357,113.87364,7e-05,113.87298,113.87308,0.0001
0.0362,113.8732,113.8733,0.0001,113.87238,113.87252,0.00014
0.0508,113.87268,113.87281999999999,0.00014,113.87156,113.87173999999999,0.00018
0.0713,113.87196999999999,113.87216000000001,0.00018999999999999998,113.87043999999999,113.87066999999999,0.00022999999999999998
0.1,113.87098999999999,113.87123000000001,0.00023999999999999998,113.86893,113.86918999999999,0.00026000000000000003
0.1403,113.86963999999999,113.86995,0.00031,113.86688999999998,113.86717,0.00028
0.1968,113.8678,113.86818000000001,0.00037999999999999997,113.86419,113.86443,0.00023999999999999998
0.276,113.8653,113.86575,0.00045,113.86063,113.86078,0.00015
0.3871,113.86193999999999,113.86243999999999,0.0005,113.856,113.85598,-2e-05
0.5431,113.85746999999999,113.85797,0.0005,113.85003,113.84975,-0.00028
0.7617,113.85157,113.85202,0.00045,113.84239,113.84185,-0.00054
1.0685,113.84386,113.84419,0.00033999999999999997,113.83263999999998,113.83197,-0.00067
1.4988,113.83393999999998,113.83406000000001,0.00011999999999999999,113.8204,113.81983000000001,-0.00056
2.1024,113.8214,113.82122,-0.00018,113.80528000000001,113.805,-0.00028
2.949,113.80576,113.80516000000001,-0.0006,113.78669,113.78665,-4e-05
4.1366,113.78638000000001,113.78513999999998,-0.00124,113.76382,113.76328000000001,-0.00053
5.8025,113.76248000000001,113.75991,-0.00257,113.73551,113.73295,-0.00256
8.1392,113.73292,113.72752,-0.00539,113.7001,113.69341000000001,-0.006690000000000001
11.417,113.69596000000001,113.68557,-0.01039,113.65513,113.6424,-0.01273
16.0147,113.6489,113.63131000000001,-0.01759,113.59703,113.57716,-0.01987
22.464,113.5876,113.56165,-0.02595,113.52049,113.4937,-0.026789999999999998
31.5105,113.50576000000001,113.47181,-0.03395,113.41763999999999,113.38422,-0.03342
44.2001,113.3942,113.35333999999999,-0.04086,113.27711000000001,113.23496000000002,-0.04214
62.0,113.23998,113.19113,-0.04885,113.08292,113.02556000000001,-0.05736
85.775,113.03533,112.97365,-0.06168,112.82569,112.7474,-0.07829
109.55,112.83126000000001,112.75594,-0.07532,112.56979,112.47689,-0.0929
133.325,112.62756,112.5407,-0.08686,112.31503000000001,112.21568,-0.09935
157.1,112.42431,112.32973999999999,-0.09457,112.0616,111.96321999999999,-0.09838
180.875,112.21768999999999,112.12026000000002,-0.09742999999999999,111.80573000000001,111.71496,-0.09077
204.65,111.95983999999999,111.86782,-0.09202,111.49947,111.42537,-0.0741
228.425,111.483,111.415,-0.068,110.97516,110.9365,-0.03866
252.2,110.68356000000001,110.65137,-0.0322,110.12955,110.13807,0.00852
275.975,109.50961000000001,109.50706000000001,-0.00256,108.91113999999999,108.96027,0.04913
299.75,107.9576,107.99583,0.03822,107.31685,107.41689,0.10004
323.525,106.29156,106.37426,0.0827,105.61056,105.76345,0.15289
347.3,104.57776,104.69774,0.11997999999999999,103.85854,104.05506,0.19652
371.075,102.80638,102.97091999999999,0.16454000000000002,102.05119,102.2967,0.24550999999999998
394.85,100.98194000000001,101.19615999999999,0.21422,100.19319,100.49118,0.29799000000000003
418.625,99.11615,99.37165999999999,0.25551,98.29638,98.6371,0.34071999999999997
442.4,97.22335,97.50910999999999,0.28576,96.37524,96.74643,0.37119
466.175,95.35236,95.66927,0.31690999999999997,94.47844,94.87985,0.40141
489.95,93.52026,93.87505,0.35479,92.62301,93.06036999999999,0.43736
513.725,91.72709,92.12109,0.394,90.809,91.28284000000001,0.47384
537.5,89.97474,90.39607,0.42133000000000004,89.0383,89.53608,0.49778
561.275,88.26629,88.69993000000001,0.43363999999999997,87.31392,87.82009000000001,0.50617
585.05,86.6039,87.03931,0.43541,85.638,86.1415,0.5035
608.825,84.92267,85.35746999999999,0.4348,83.94626,84.44415,0.49788999999999994
632.6,83.24025,83.67992,0.43967,82.25628,82.75328,0.497
656.375,81.58358,82.03389,0.45031000000000004,80.59470999999999,81.09568,0.50097
680.15,79.97122,80.43065,0.45943,78.97978,79.48236999999999,0.50259
703.925,78.41618000000001,78.87366999999999,0.45748999999999995,77.42416999999999,77.91668,0.49251000000000006
727.7,76.92506999999999,77.36363,0.43856000000000006,75.93414,76.39912,0.46497
751.475,75.50008000000001,75.90405,0.40398,74.51154,74.93301,0.42146000000000006
775.25,74.14081,74.50134,0.36053,73.15565,73.52456,0.36891
799.025,72.84478,73.16073,0.31595,71.86371,72.17876,0.31505
822.8,71.60837,71.88202,0.27365,70.63185,70.89524,0.26339
846.575,70.42768000000001,70.66104,0.23335999999999998,69.45596,69.66972,0.21375999999999998
870.35,69.29897,69.49095,0.19197999999999998,68.33216999999999,68.49534,0.16317
894.125,68.2186,68.36395999999999,0.14536,67.25672,67.3643,0.10758
917.9,67.18309,67.27339,0.0903,66.22603000000001,66.26993,0.0439
941.675,66.18911,66.21472,0.02561,65.23673000000001,65.20766,-0.02908
965.45,65.23363,65.18563,-0.048,64.28577,64.17515999999999,-0.1106
989.225,64.31367,64.18509,-0.12858,63.37016,63.1713,-0.19885999999999998
1013.0,63.42746999999999,63.21363,-0.21384,62.48809,62.19653,-0.29156
