,hPa,LBLx1,PARx1,PARx1 - LBLx1,LBLx2,PARx2,PARx2 - LBLx2
0,0.0003,0.30772,0.28119,-0.026539999999999998,0.50965,0.46778000000000003,-0.04187
1,0.0008,0.30806999999999995,0.28114,-0.026930000000000003,0.5097,0.4676,-0.042089999999999995
2,0.0011,0.30777,0.28110999999999997,-0.02665,0.5091899999999999,0.4675,-0.04168
3,0.0015,0.3075,0.28107,-0.026430000000000002,0.50863,0.46735,-0.041280000000000004
4,0.0021,0.30723,0.28101,-0.02622,0.5079600000000001,0.46713000000000005,-0.040839999999999994
5,0.0029,0.30694,0.28092,-0.026019999999999998,0.50712,0.4668,-0.040310000000000006
6,0.0041,0.3066,0.2808,-0.0258,0.5060100000000001,0.46634,-0.03966
7,0.0057,0.30616,0.28063,-0.02553,0.5045,0.46568999999999994,-0.038810000000000004
8,0.008,0.30558,0.28038,-0.0252,0.50244,0.46476999999999996,-0.03768
9,0.0112,0.3048,0.28005,-0.02476,0.49962,0.46347,-0.03615
10,0.0158,0.30374,0.27956,-0.02418,0.49576000000000003,0.46163000000000004,-0.03413
11,0.0221,0.30228,0.27887,-0.02341,0.49046999999999996,0.45905,-0.03142
12,0.031,0.30028,0.27793,-0.02235,0.48331,0.4555,-0.02781
13,0.0435,0.29754,0.27663000000000004,-0.020919999999999998,0.47368000000000005,0.4506,-0.02308
14,0.0611,0.29386,0.27483,-0.019030000000000002,0.46112,0.44396,-0.01715
15,0.0856,0.28911,0.2724,-0.01671,0.4455,0.43516000000000005,-0.01034
16,0.1201,0.28301,0.26911999999999997,-0.013890000000000001,0.42654,0.42357,-0.00297
17,0.1685,0.27539,0.26473,-0.01065,0.40421999999999997,0.40843,0.00421
18,0.2364,0.26609,0.25892,-0.00718,0.37895999999999996,0.38908000000000004,0.01012
19,0.3315,0.25499,0.25129,-0.0037,0.35154,0.36508,0.01354
20,0.4651,0.24206999999999998,0.24161999999999997,-0.00045999999999999996,0.32308000000000003,0.33671,0.013630000000000001
21,0.6524,0.22778,0.2297,0.0019199999999999998,0.29523,0.30507,0.00984
22,0.9151,0.2122,0.21548,0.0032700000000000003,0.26819,0.27185,0.00366
23,1.2837,0.1946,0.19867,0.004070000000000001,0.24011,0.23828000000000002,-0.00183
24,1.8006,0.17532,0.17965,0.00433,0.21158000000000002,0.20735,-0.00424
25,2.5257,0.15604,0.1601,0.00406,0.18537,0.18298,-0.00238
26,3.5428,0.13774,0.1423,0.00456,0.16255999999999998,0.16605,0.00349
27,4.9695,0.12111,0.12786,0.00674,0.14344,0.15370999999999999,0.01027
28,6.9708,0.10678,0.11698,0.010190000000000001,0.12793,0.14281,0.01488
29,9.7781,0.0952,0.10805,0.01285,0.11581,0.13137000000000001,0.01555
30,13.7158,0.08641,0.09961,0.0132,0.10668,0.11977,0.013090000000000001
31,19.2394,0.08023,0.09117,0.01093,0.10017999999999999,0.10925,0.009059999999999999
32,26.9873,0.07637000000000001,0.08383,0.00746,0.09598,0.10214,0.00617
33,37.8553,0.07422000000000001,0.07881,0.0045899999999999995,0.09349,0.09929,0.0058
34,53.1,0.07314,0.07692,0.0037799999999999995,0.0921,0.0993,0.0072
35,73.8875,0.07266,0.07721,0.00455,0.09133,0.09876,0.00743
36,97.6625,0.07246,0.0773,0.00483,0.09086,0.09604,0.00517
37,121.4375,0.07232999999999999,0.07642,0.00409,0.09046,0.09274,0.00228
38,145.2125,0.07217,0.0749,0.0027300000000000002,0.08999,0.08964,-0.00035
39,168.9875,0.07337,0.07437,0.00101,0.09086,0.08814,-0.00271
40,192.7625,0.09155,0.08962,-0.00193,0.10874,0.10282000000000001,-0.0059299999999999995
41,216.5375,0.16931,0.16077,-0.00854,0.18617,0.17357,-0.0126
42,240.3125,0.28386,0.27111,-0.01275,0.30025,0.28347,-0.01678
43,264.0875,0.41684,0.40628000000000003,-0.01056,0.43262,0.41816000000000003,-0.014459999999999999
44,287.8625,0.55108,0.53654,-0.01454,0.56609,0.54796,-0.01813
45,311.6375,0.5915600000000001,0.57571,-0.01585,0.6058600000000001,0.58703,-0.01883
46,335.4125,0.60853,0.59523,-0.0133,0.6221,0.60654,-0.01555
47,359.1875,0.62897,0.6130800000000001,-0.01589,0.64174,0.6242800000000001,-0.01746
48,382.9625,0.64781,0.6301,-0.01771,0.65973,0.64103,-0.0187
49,406.7375,0.6625,0.64777,-0.014730000000000002,0.67351,0.65827,-0.01524
50,430.5125,0.67208,0.66127,-0.01081,0.68215,0.6712600000000001,-0.01089
51,454.2875,0.6643399999999999,0.6532100000000001,-0.01113,0.6735,0.6627,-0.0108
52,478.0625,0.65053,0.6370100000000001,-0.01351,0.65881,0.64598,-0.012830000000000001
53,501.8375,0.63671,0.6227199999999999,-0.01399,0.6441100000000001,0.6310899999999999,-0.013019999999999999
54,525.6125,0.62221,0.61244,-0.009770000000000001,0.62873,0.62017,-0.00856
55,549.3875,0.60663,0.60219,-0.00443,0.61228,0.60924,-0.0030399999999999997
56,573.1625,0.59027,0.58958,-0.0006900000000000001,0.59508,0.59596,0.00088
57,596.9375,0.59696,0.59712,0.00015,0.60069,0.6026199999999999,0.00193
58,620.7125,0.59738,0.59559,-0.00179,0.60006,0.60032,0.00026000000000000003
59,644.4875,0.58824,0.5844,-0.0038399999999999997,0.5899800000000001,0.5885100000000001,-0.00147
60,668.2625,0.5725100000000001,0.56921,-0.0033,0.5734199999999999,0.5727800000000001,-0.00064
61,692.0375,0.55215,0.55278,0.00063,0.55235,0.55588,0.0035299999999999997
62,715.8125,0.52945,0.5361199999999999,0.006659999999999999,0.5290699999999999,0.53879,0.00972
63,739.5875,0.50597,0.5182100000000001,0.01223,0.50513,0.52052,0.0154
64,763.3625,0.48263999999999996,0.49801000000000006,0.015369999999999998,0.48144,0.50005,0.018609999999999998
65,787.1375,0.46019,0.47597,0.015780000000000002,0.45874,0.47781,0.01907
66,810.9125,0.43901999999999997,0.45398999999999995,0.014969999999999999,0.4374,0.4557,0.0183
67,834.6875,0.41923,0.43349,0.01426,0.41753,0.43511000000000005,0.017580000000000002
68,858.4625,0.40076999999999996,0.41541999999999996,0.01465,0.39903,0.41695,0.01792
69,882.2375,0.38361,0.40012,0.01651,0.38187,0.40156,0.01969
70,906.0125,0.36768,0.38719000000000003,0.01951,0.36596999999999996,0.38854,0.02257
71,929.7875,0.35294000000000003,0.37587,0.022930000000000002,0.35126999999999997,0.37714000000000003,0.025869999999999997
72,953.5625,0.33926,0.36536,0.0261,0.33766,0.36658,0.028919999999999998
73,977.3375,0.32665,0.35523000000000005,0.02858,0.32511,0.35641,0.0313
74,1001.1125,0.31467,0.3449,0.030239999999999996,0.3132,0.34608,0.03288
